Actual,Predicted
17500.0,37699.316
16500.0,16090.81
7550.0,9766.484
44000.0,30392.502
14500.0,7704.3584
26500.0,99621.164
13500.0,63036.957
22500.0,3717.1184
25500.0,14854.456
8600.0,32151.92
16700.0,39132.598
23600.0,20569.613
13900.0,13229.528
22000.0,78628.26
8600.0,9890.126
72000.0,99555.555
5550.0,8065.3184
15200.0,41564.52
5950.0,10413.498
31500.0,18212.72
25500.0,140502.1
9800.0,49199.652
16000.0,38380.973
22000.0,26311.617
195000.0,131343.69
20500.0,28643.893
39500.0,98511.29
13200.0,12175.571
36500.0,26160.682
5750.0,41201.598
18800.0,23522.926
15200.0,52233.207
6050.0,24715.182
142000.0,173174.1
71000.0,37589.707
9300.0,9077.615
55000.0,36947.348
16500.0,4008.0776
32000.0,23874.35
120000.0,39265.23
5200.0,5035.3823
5500.0,66871.734
27300.0,21694.873
8900.0,9022.553
19700.0,51093.07
12700.0,35128.137
35000.0,6903.67
6980.0,14249.05
24000.0,25658.572
51000.0,70499.64
12000.0,14316.862
15900.0,51219.273
14500.0,6005.66
15800.0,10174.361
8650.0,9465.638
7300.0,51022.832
86000.0,34557.473
7650.0,35259.98
9200.0,5881.0835
14800.0,20752.068
320000.0,45319.152
19000.0,29434.164
35000.0,29875.844
18000.0,11352.77
350000.0,183470.36
285000.0,167502.28
8500.0,16771.191
2300.0,12813.674
21000.0,51217.4
6500.0,9351.346
8000.0,63675.61
17700.0,36923.465
7200.0,14892.611
13000.0,4736.3535
18000.0,11256.778
8900.0,6079.558
7500.0,15026.501
34000.0,73592.31
9900.0,13039.185
13500.0,68492.28
36000.0,44781.184
18500.0,177300.81
20500.0,21166.885
18800.0,49647.465
13990.0,47552.215
920000.0,1057658.8
7250.0,10618.89
16000.0,19490.605
21500.0,50804.996
16000.0,9563.651
10600.0,35901.26
10800.0,28450.408
7500.0,8234.995
7400.0,16372.702
19900.0,55005.06
41000.0,27028.914
5350.0,69718.33
11300.0,23810.283
13900.0,11003.729
41000.0,95307.36
13700.0,120046.83
12300.0,35369.863
60400.0,21640.842
6900.0,28337.225
40500.0,11271.974
12800.0,43854.73
12800.0,10986.611
6500.0,20916.861
7500.0,13106.274
19500.0,58666.93
10500.0,14525.219
63000.0,31967.164
28500.0,46623.145
14500.0,52071.465
9000.0,5506.477
97000.0,52901.523
0.0,18426.436
17000.0,25307.916
8100.0005,14722.636
225000.0,90322.91
33500.0,12405.048
16800.0,56338.457
72500.0,70439.97
15900.0,27372.283
49000.0,20349.26
13200.0,45992.92
13500.0,4036.6873
9800.0,20328.846
11000.0,18657.049
14000.0,7941.299
10500.0,15799.112
64000.0,6330.1743
24000.0,20121.717
11000.0,16736.799
13500.0,19376.12
5750.0,26800.86
15750.0,31488.576
42800.0,50736.7
20000.0,25338.012
54500.0,40347.406
10800.0,7146.1313
11800.0,26305.168
27200.0,43832.62
20200.0,33501.438
12690.0,16529.568
15000.0,20839.572
25000.0,24240.45
17900.0,52406.066
26900.0,71630.39
7600.0,16695.873
12000.0,14900.733
8300.0,13546.176
13000.0,15487.038
12000.0,14542.954
38000.0,33277.91
11800.0,20200.764
13900.0,11644.757
23000.0,25506.865
1550000.0,978852.56
57500.0,115744.28
26000.0,16098.161
10800.0,14834.389
14500.0,8805.728
44000.0,63645.418
8100.0005,17338.666
24000.0,18641.646
